crop_type,month,temperature_celsius,humidity_percent,pressure_hpa,rainfall_mm,wind_speed_mps,quantity_normalized
Tree Nuts,8,28.0,70.1,1018.1,104.2,3.0,0.7953
Soybean,9,23.5,56.1,1013.2,112.0,3.9,0.3947
Sorghum,3,3.4,52.4,1022.2,48.9,4.0,0.0
Barley,6,34.0,78.1,1015.1,241.0,5.3,0.0238
Rice,8,27.3,72.6,1017.9,151.5,0.3,0.4856
Wheat,5,19.4,78.0,1014.4,34.2,5.2,0.1519
Sugar,6,22.8,66.5,1020.2,76.3,3.7,0.4064
Barley,9,23.1,72.1,1005.4,93.3,0.0,0.401
Tree Nuts,1,3.4,54.3,1013.7,48.2,5.9,0.0609
Wheat,3,6.2,52.5,1007.4,35.7,1.6,0.0
Corn,8,28.8,78.5,1004.0,77.5,1.6,0.5389
Soybean,2,2.6,51.2,1013.4,28.9,3.5,0.0405
Cotton,9,23.5,65.8,1012.5,75.5,3.2,0.2428
Tree Nuts,3,8.6,53.2,1004.3,73.2,3.0,0.0
Sorghum,11,6.6,60.8,1019.7,233.1,5.4,0.0
Corn,2,0.5,47.3,1021.3,23.6,3.6,0.0
Barley,11,6.1,59.4,1018.5,51.3,1.6,0.0
Corn,9,26.9,71.5,1015.9,129.3,0.0,0.4153
Cotton,12,3.2,71.7,1013.8,36.7,2.8,0.0024
Wheat,8,26.3,88.4,1021.2,69.7,3.8,0.7015
Rice,4,11.9,54.9,1006.8,32.7,1.8,0.1378
Wheat,4,11.4,75.9,1009.9,17.4,2.4,0.0
Wheat,8,29.3,78.3,1013.7,57.5,0.0,0.6524
Soybean,6,23.4,80.8,1016.4,107.1,1.9,0.6012
Wheat,8,27.6,64.1,1010.4,128.8,4.5,0.7271
Cotton,3,3.7,57.8,1020.5,36.1,4.8,0.1223
Soybean,6,24.3,78.4,1012.1,70.1,2.1,0.4346
Tree Nuts,7,29.8,63.2,1010.2,128.2,2.9,0.709
Cotton,7,27.3,87.1,1008.6,42.0,0.5,0.377
Barley,4,16.7,52.2,1016.9,39.6,2.9,0.2198
Tree Nuts,1,-4.5,53.8,1012.3,29.5,3.3,0.0
Corn,12,-0.4,70.1,1016.7,0.0,5.1,0.0
Wheat,11,5.1,75.4,1010.4,56.2,3.1,0.0
Cotton,12,3.8,44.8,1004.7,43.2,1.5,0.1293
Tree Nuts,12,-3.3,50.5,1019.1,139.3,3.0,0.0246
Soybean,9,22.4,69.7,1018.0,155.0,2.1,0.2417
Hay,8,29.1,76.8,1008.0,56.0,4.9,0.3343
Barley,3,4.6,54.4,1006.0,2.3,3.1,0.0536
Barley,11,8.3,62.1,1017.5,191.0,2.1,0.0
Wheat,3,6.4,61.2,1005.1,60.4,4.5,0.0246
Wheat,8,23.1,65.2,1022.3,38.4,1.5,0.5235
Cotton,5,17.6,69.0,1006.9,27.2,1.0,0.5029
Hay,9,28.8,72.5,1010.0,71.0,3.7,0.5462
Sorghum,4,16.8,45.0,1017.7,22.0,1.8,0.0969
Hay,3,7.6,70.5,1006.2,19.1,2.1,0.0
Sugar,9,22.0,83.9,1019.3,109.8,4.5,0.7277
Wheat,7,33.1,87.1,1012.5,53.9,2.1,0.3229
Corn,4,14.2,62.8,1009.3,12.7,4.1,0.0164
Corn,7,31.5,90.5,1019.2,56.3,0.0,0.4184
Barley,9,21.4,53.6,1018.5,63.9,4.7,0.342
Rice,1,1.4,68.6,1015.9,53.7,2.3,0.0368
Cotton,2,-0.6,57.5,1008.8,70.7,4.4,0.0364
Hay,11,8.4,54.7,1000.9,140.6,1.8,0.068
Barley,12,5.4,58.5,1016.2,3.9,0.0,0.0799
Soybean,9,23.6,71.1,1002.8,87.0,3.1,0.3499
Sugar,12,-2.1,43.1,1018.5,31.0,0.7,0.0
Corn,8,31.8,67.7,1008.0,137.9,1.9,0.3571
Tree Nuts,7,30.4,71.5,1021.1,109.3,1.9,0.6783
Tree Nuts,8,26.0,63.1,1013.6,71.7,2.6,0.6495
Wheat,9,26.2,62.9,1007.8,117.1,4.5,0.8109
Barley,3,5.8,48.8,1005.8,51.2,5.5,0.0181
Rice,8,29.6,80.2,1010.1,78.1,1.6,0.4224
Sugar,4,17.3,80.7,1010.4,29.1,1.9,0.0863
Hay,8,32.9,61.1,1015.6,172.5,2.1,0.5322
Hay,9,22.6,86.7,1005.9,119.7,2.8,0.7346
Rice,3,6.8,45.5,1009.4,166.0,4.8,0.0936
Sugar,11,9.7,57.8,1013.0,116.9,2.2,0.1777
Sugar,4,9.8,58.6,1015.6,48.8,9.2,0.007
Hay,11,4.7,43.6,1009.3,130.7,3.8,0.0
Rice,12,-1.1,46.1,1008.8,71.8,3.9,0.0
Rice,9,23.8,48.4,1021.0,105.9,4.9,0.472
Soybean,1,-3.7,69.9,1013.5,44.9,4.3,0.0
Corn,7,25.3,69.9,1009.5,171.0,3.5,0.7271
Corn,1,1.4,65.2,1014.4,77.8,3.6,0.0
Cotton,9,20.9,67.0,1011.4,120.5,1.4,0.4706
Soybean,10,19.0,71.7,1014.8,116.8,3.4,0.0643
Rice,10,17.4,70.6,1016.2,99.9,2.4,0.2256
Cotton,12,-3.7,53.8,1007.8,66.9,6.4,0.0057
Tree Nuts,11,6.7,59.0,1012.2,68.5,3.9,0.0098
Hay,4,14.1,75.8,1015.6,0.0,3.1,0.0084
Cotton,2,-2.4,52.5,1004.6,89.2,0.9,0.0
Rice,8,26.8,74.3,1020.6,207.5,0.0,0.5301
Soybean,8,24.4,80.9,1021.7,80.4,3.0,0.4929
Soybean,9,27.5,47.1,1017.7,97.7,2.9,0.5189
Cotton,6,33.7,72.1,1013.5,81.6,1.8,0.2704
Hay,12,4.1,73.2,1017.5,45.1,1.5,0.0
Soybean,2,-2.2,52.2,1012.9,123.2,2.4,0.0428
Wheat,12,-3.8,55.3,1002.7,63.5,0.1,0.0
Soybean,2,2.2,39.1,1020.3,37.1,1.1,0.0027
Tree Nuts,10,14.4,53.5,1014.5,135.1,3.2,0.0
Sorghum,2,1.4,75.5,1012.2,13.5,0.5,0.0084
Soybean,8,30.9,63.6,1005.2,111.7,5.2,0.667
Sugar,4,13.3,72.0,1014.3,34.2,1.2,0.0225
Soybean,8,27.2,74.1,1010.5,187.4,5.7,0.5874
Tree Nuts,4,20.0,56.4,1015.4,42.7,0.1,0.2958
Cotton,6,26.9,72.0,1009.9,112.7,0.0,0.831
Hay,10,15.2,63.0,1016.1,303.4,1.7,0.229
Rice,7,31.3,85.4,1018.7,278.8,3.5,0.24
Rice,12,-0.8,58.0,1015.4,51.4,3.5,0.0
Cotton,3,9.5,71.2,1021.5,77.2,0.6,0.2032
Wheat,3,5.9,70.2,1015.1,48.4,3.0,0.0293
Hay,10,17.6,64.4,1006.6,68.4,0.2,0.2965
Wheat,10,17.1,52.8,1015.9,145.3,1.2,0.6021
Barley,4,20.2,62.0,1015.7,143.1,5.5,0.4134
Hay,7,31.0,87.9,1010.7,28.7,1.9,0.2042
Cotton,1,3.9,40.9,1019.9,23.6,2.5,0.0529
Soybean,12,4.2,60.2,1015.2,109.5,5.2,0.0
Corn,9,26.3,59.3,1008.3,65.2,2.4,0.2823
Cotton,5,18.2,81.1,1004.9,17.2,3.0,0.2664
Tree Nuts,2,-0.7,51.5,1021.4,32.4,4.9,0.0
Barley,2,-1.1,59.0,1011.9,63.6,0.0,0.0
Soybean,3,9.6,61.6,1005.1,112.8,6.8,0.013
Wheat,3,14.2,57.6,1011.8,18.1,6.0,0.0755
Wheat,11,7.2,49.0,1012.3,77.7,3.4,0.0763
Hay,3,9.2,71.1,1014.4,62.2,4.2,0.0712
Cotton,4,8.9,62.3,1013.9,103.7,0.9,0.3563
Corn,5,16.2,71.6,1011.3,73.6,7.0,0.1158
Cotton,8,33.5,79.2,1011.2,96.8,1.7,0.2198
Corn,6,29.5,66.9,1010.2,90.2,6.9,0.5239
Sugar,5,21.1,59.1,1019.5,66.4,6.4,0.207
Sugar,5,22.3,85.4,1018.8,15.5,4.1,0.0776
Rice,1,3.4,65.2,1007.3,135.6,2.4,0.0395
Hay,6,23.8,51.7,1016.0,80.6,2.4,0.2396
Soybean,10,21.3,69.0,1002.7,128.5,0.8,0.1007
Barley,2,1.9,37.7,1013.8,121.7,2.7,0.0072
Wheat,6,31.2,70.2,1015.2,64.1,5.4,0.1898
Cotton,10,13.3,67.6,1024.2,64.8,2.9,0.1268
Barley,5,23.0,55.8,1001.5,33.4,2.7,0.3069
Barley,8,28.3,71.2,1006.3,69.7,1.4,0.2351
Rice,11,8.6,49.2,1015.1,71.0,6.6,0.0738
Tree Nuts,10,15.7,78.3,1022.8,122.7,4.5,0.0291
Rice,8,24.0,64.2,1008.9,102.2,1.2,0.7691
Corn,3,11.7,63.3,1010.8,0.0,2.1,0.0
Barley,10,14.2,64.4,1017.6,76.1,3.1,0.2097
Soybean,11,3.9,61.5,1009.5,91.4,2.3,0.0
Sugar,11,10.7,67.0,1005.0,49.9,2.4,0.0939
Sugar,7,35.6,82.2,1011.0,149.2,2.5,0.1707
Tree Nuts,8,25.9,81.7,1015.3,53.3,2.4,0.5073
Tree Nuts,4,13.5,68.6,1013.9,21.4,0.3,0.0
Tree Nuts,8,33.3,74.7,1016.3,83.4,2.1,0.3368
Barley,10,15.3,69.3,1007.2,95.8,2.9,0.2534
Hay,1,0.0,53.9,1015.9,18.5,1.4,0.0
Hay,10,16.0,69.1,1017.1,148.0,2.9,0.4121
Corn,3,5.0,59.0,1019.1,16.9,5.3,0.0
Hay,3,7.4,58.0,1014.0,45.4,2.7,0.0
Sugar,9,15.9,74.6,1018.4,80.3,2.7,0.3462
Wheat,2,-2.1,56.7,1016.2,7.7,5.8,0.0
Wheat,11,1.8,47.7,1015.7,73.8,1.5,0.0247
Sorghum,12,5.8,46.4,1010.1,75.0,0.3,0.0303
Tree Nuts,8,30.0,89.8,1016.9,41.7,3.8,0.418
Barley,12,3.3,55.3,1007.5,68.8,3.1,0.0417
Barley,10,19.0,63.9,1007.9,70.2,1.9,0.3631
Rice,12,1.2,68.0,1010.7,65.0,6.9,0.0094
Barley,8,31.8,64.8,1008.5,111.3,1.8,0.1604
Soybean,5,23.2,70.4,1005.0,18.5,0.9,0.1548
Corn,12,7.0,51.1,1017.4,143.7,0.0,0.0
Soybean,5,19.1,68.8,1023.8,45.2,1.0,0.0516
Soybean,12,-1.3,71.3,1020.0,300.9,3.5,0.0233
Cotton,9,20.8,77.9,1020.0,136.7,3.2,0.4258
Hay,5,24.1,72.4,1007.9,47.0,3.4,0.0835
Cotton,12,3.3,53.4,1009.2,261.1,4.2,0.0372
Hay,7,21.3,63.8,1015.9,139.4,2.4,0.45
Wheat,5,21.3,62.7,1017.4,37.8,0.0,0.0764
Hay,9,27.4,71.3,1004.0,76.9,1.6,0.5469
Corn,1,2.6,44.8,1021.4,94.4,0.0,0.0
Hay,11,9.9,82.4,1016.4,86.3,1.8,0.0229
Barley,8,29.8,77.0,1008.3,192.8,4.1,0.2491
Rice,12,0.9,69.3,1016.4,53.9,2.6,0.0522
Cotton,11,6.1,49.5,1020.6,83.6,3.1,0.0574
Hay,7,31.4,100.0,1013.7,46.2,2.7,0.2991
Hay,11,7.0,38.3,1016.7,59.0,3.4,0.0
Sugar,5,19.7,72.2,1015.7,64.2,5.4,0.255
Barley,3,13.2,54.6,1027.6,61.6,0.3,0.1597
Sorghum,2,2.8,53.2,1015.0,38.4,0.8,0.0
Soybean,3,8.3,66.3,1015.8,19.3,6.2,0.0
Barley,10,17.7,71.7,1010.5,57.9,4.0,0.2102
Sugar,2,-0.8,65.7,1009.3,0.0,0.1,0.0
Soybean,2,3.9,61.4,1008.6,59.5,7.1,0.0
Soybean,12,3.4,61.3,1009.6,62.0,1.5,0.0
Soybean,9,19.0,57.7,1020.3,112.1,1.3,0.0698
Hay,8,30.9,89.6,1013.6,92.7,4.9,0.4407
Cotton,3,8.5,55.7,1004.6,74.4,6.1,0.1354
Wheat,10,17.3,62.2,1009.5,140.1,0.9,0.4701
Tree Nuts,11,5.4,71.0,1013.6,119.3,4.7,0.0
Sorghum,1,1.9,50.3,1017.6,16.9,3.1,0.0
Wheat,9,18.6,63.6,1011.1,35.8,3.4,0.4494
Corn,9,24.3,68.9,1010.2,52.3,5.1,0.36
Cotton,4,15.3,66.7,1018.4,51.0,0.2,0.415
Sorghum,10,14.0,74.9,1016.7,90.0,1.6,0.0
Sorghum,11,3.8,43.0,1012.9,76.4,5.2,0.0
Soybean,12,3.2,60.1,1010.4,93.6,4.3,0.0
Sorghum,2,5.1,81.9,1010.1,49.8,3.1,0.0
Sugar,9,19.5,70.7,1021.9,138.3,3.3,0.7222
Cotton,3,13.3,68.1,1012.5,82.6,2.5,0.2645
Soybean,1,-1.1,84.9,1010.0,21.2,3.0,0.0
Sorghum,6,23.8,86.7,1018.5,38.6,0.0,0.3974
Barley,11,1.6,43.1,1016.0,60.3,2.7,0.0
Tree Nuts,5,24.8,70.8,1011.6,23.1,5.0,0.3817
Rice,5,22.2,79.5,1020.1,65.0,1.2,0.8579
Tree Nuts,12,2.0,67.7,1011.2,18.6,2.1,0.0
Soybean,1,0.1,52.8,1014.6,63.8,4.2,0.0069
Hay,1,-3.4,35.6,1012.2,35.8,1.7,0.0677
Wheat,4,11.0,63.7,1012.3,0.0,4.2,0.0
Corn,2,3.7,62.4,1017.2,2.5,0.5,0.0
Rice,9,24.7,80.6,1006.5,78.1,4.8,0.5235
Corn,8,31.0,81.2,1009.2,131.8,3.9,0.3211
Cotton,1,-3.3,65.3,1022.8,103.3,3.3,0.0443
Soybean,12,1.5,56.8,1013.5,100.4,5.1,0.0
Corn,9,20.9,71.2,1012.1,119.5,0.8,0.2757
Corn,4,12.1,62.5,1012.4,34.3,5.9,0.05
Tree Nuts,6,29.8,65.8,1016.9,132.6,4.5,0.6631
Cotton,7,30.8,66.6,1013.0,93.0,2.2,0.4435
Wheat,11,10.6,50.5,1009.7,61.6,3.4,0.1044
Tree Nuts,3,6.2,74.6,1018.4,29.5,4.1,0.0229
Rice,4,15.6,53.7,1011.1,40.3,2.8,0.2875
Corn,1,3.9,66.5,1019.2,15.1,4.5,0.0
Cotton,3,8.2,75.5,1012.0,47.2,4.3,0.156
Corn,9,19.0,57.7,1010.5,80.3,1.4,0.2783
Cotton,10,17.7,69.8,1008.5,90.3,3.9,0.1954
Corn,4,14.9,63.7,1008.7,50.4,2.9,0.0089
Wheat,12,-1.9,62.3,1009.3,71.6,5.0,0.0
Wheat,5,19.3,67.3,1009.8,75.4,7.6,0.0734
Sorghum,2,6.6,49.6,1008.9,12.0,3.2,0.0641
Sugar,7,25.4,79.3,1016.8,51.2,3.0,0.4122
Sorghum,12,2.0,60.8,1016.1,41.3,6.8,0.061
Sorghum,4,17.4,74.7,1014.9,79.7,2.9,0.099
Sugar,11,9.6,55.2,1008.4,85.6,2.5,0.0416
Rice,5,17.3,73.0,1017.0,34.9,1.7,0.4455
Sugar,12,-0.3,63.0,1016.8,43.9,1.4,0.0
Cotton,6,22.5,90.6,1012.3,25.9,6.2,0.4047
Sorghum,12,7.1,38.7,1013.4,49.3,6.3,0.0
Sorghum,8,25.5,78.3,1017.5,198.7,4.3,0.6277
Tree Nuts,4,11.8,66.8,1011.9,54.8,5.4,0.0644
Barley,2,0.1,62.5,1014.2,101.8,4.7,0.0
Sorghum,9,24.9,54.0,1017.3,143.6,1.1,0.5621
Hay,4,17.4,70.7,1013.7,49.5,0.2,0.0487
Tree Nuts,11,10.8,75.5,1005.4,108.0,3.6,0.0
Tree Nuts,12,3.3,54.9,1013.4,121.2,1.7,0.038
Corn,5,19.7,79.6,1010.6,9.5,1.2,0.0381
Sorghum,10,15.0,51.2,1008.8,116.7,5.5,0.0
Corn,2,6.5,52.7,1008.9,103.6,3.6,0.0
Soybean,4,19.5,42.8,1015.4,41.5,3.2,0.0
Sugar,6,26.7,56.5,1011.2,116.1,6.5,0.3973
Tree Nuts,3,9.5,63.5,1014.0,8.8,3.3,0.0505
Corn,4,19.0,69.5,1011.7,24.0,3.8,0.1528
Wheat,8,28.8,70.0,1020.0,71.3,4.7,0.5459
Wheat,4,14.6,54.4,1023.1,0.0,1.1,0.124
Soybean,9,19.6,55.0,1013.0,103.2,4.1,0.117
Cotton,6,28.3,83.4,1010.1,254.0,3.1,0.5325
Soybean,10,15.3,54.7,1014.9,44.0,4.0,0.0
Sugar,10,14.1,73.7,1016.3,79.1,0.2,0.2631
Wheat,5,26.3,58.7,1016.6,6.9,7.0,0.0
Soybean,8,27.7,81.9,1014.0,101.0,4.4,0.7949
Soybean,3,4.4,55.7,1014.7,57.3,0.5,0.0
Sorghum,10,20.5,53.0,1017.7,84.0,1.8,0.125
Cotton,8,34.3,66.9,1010.3,182.5,3.0,0.1837
Corn,4,11.3,73.9,1014.9,49.7,3.7,0.0
Corn,11,6.3,61.7,1010.6,139.3,4.7,0.0
Sorghum,11,3.0,54.4,1007.8,68.6,1.3,0.0
Soybean,4,12.6,81.8,1018.7,80.6,1.8,0.0
Wheat,1,3.0,39.8,1016.3,63.4,0.9,0.1265
Cotton,7,29.5,100.0,1011.9,160.0,2.2,0.5356
Corn,4,18.3,87.9,1021.8,76.7,2.2,0.1867
Sugar,7,32.9,65.7,1012.9,50.8,4.2,0.21
Soybean,10,12.8,63.1,1014.2,86.4,2.6,0.0
Wheat,6,28.6,79.7,1010.1,190.4,0.0,0.3843
Hay,1,8.6,55.5,1020.4,77.2,5.0,0.0
Barley,5,26.4,54.0,1011.4,17.6,2.3,0.0521
Corn,11,7.7,59.0,1017.7,91.5,4.3,0.0423
Soybean,6,28.3,61.4,1012.1,30.7,3.4,0.4312
Sugar,11,3.0,70.1,1016.6,66.1,4.2,0.0
Cotton,1,7.5,52.7,1011.0,18.4,2.0,0.0221
Sorghum,8,27.6,87.4,1021.5,86.2,1.8,0.688
Sorghum,7,34.9,71.5,1017.0,56.7,2.2,0.3387
Soybean,11,6.5,63.2,1014.3,93.7,4.1,0.0054
Tree Nuts,3,7.7,51.0,1020.8,95.4,3.5,0.0
Sugar,1,0.0,61.8,1017.7,13.1,3.9,0.0
Sugar,7,35.6,66.1,1009.1,66.2,1.1,0.1213
Wheat,3,5.3,69.8,1008.4,35.2,4.8,0.0151
Hay,10,18.2,84.5,1021.7,52.5,6.0,0.2713
Wheat,4,15.5,65.3,1017.9,19.7,2.9,0.0
Sorghum,1,1.9,42.2,1003.4,158.3,2.0,0.0
Hay,6,28.1,78.7,1020.9,36.7,4.2,0.1414
Sorghum,3,10.0,65.9,1017.7,150.9,1.9,0.0929
Sugar,5,17.7,46.3,1014.7,68.2,4.2,0.1429
Soybean,3,9.0,68.2,1007.6,16.8,6.9,0.0083
Sugar,3,5.7,41.6,1011.7,51.5,1.3,0.0
Cotton,10,14.9,45.7,1013.3,97.4,2.8,0.2311
Wheat,2,0.8,51.5,1015.3,23.6,0.6,0.0
Wheat,3,9.4,34.5,1012.9,4.1,6.7,0.0
Tree Nuts,10,14.0,67.6,1017.1,123.9,2.8,0.0
Rice,5,23.6,64.5,1005.6,88.4,2.8,0.8771
Wheat,1,-4.5,46.6,1014.0,43.0,4.4,0.0
Soybean,9,21.9,72.3,1011.9,120.1,2.7,0.2252
Sorghum,3,4.3,61.6,1005.0,32.9,0.0,0.0
Wheat,7,30.6,74.9,1019.8,82.3,7.4,0.465
Soybean,12,1.1,52.8,1022.2,76.9,0.6,0.0
Wheat,8,26.6,71.4,1009.2,106.6,0.0,0.7902
Corn,6,30.4,66.4,1013.8,54.7,3.7,0.4458
Rice,11,11.8,77.7,1007.4,43.2,3.4,0.1049
Sugar,3,7.2,58.4,1009.2,13.9,3.3,0.0125
Tree Nuts,12,1.9,70.8,1009.1,42.0,0.1,0.0016
Cotton,3,9.0,66.9,1017.6,17.3,2.7,0.0868
Corn,7,32.4,70.1,1016.2,143.7,0.0,0.4434
Wheat,2,-1.8,65.5,1022.6,102.4,0.0,0.0
Corn,1,1.6,68.8,1007.0,20.4,1.1,0.0
Sorghum,5,21.7,70.6,1023.2,110.1,2.4,0.4173
Sorghum,5,13.2,71.6,1012.3,90.4,4.1,0.0742
Rice,9,23.4,82.8,1012.2,100.2,5.4,0.4981
Barley,12,1.4,65.7,1008.7,59.5,5.7,0.0
Corn,12,-0.3,81.2,1019.5,193.8,3.0,0.0154
Sugar,5,21.2,63.6,1013.0,112.0,0.0,0.3749
Barley,2,2.6,63.1,1015.6,0.0,1.7,0.0
Hay,6,31.6,69.2,1011.1,101.8,6.5,0.1414
Soybean,6,24.2,53.8,1002.1,11.0,3.7,0.1703
Cotton,1,-0.0,58.3,1017.8,51.4,3.9,0.0
Cotton,11,3.4,55.8,1013.0,68.5,2.8,0.0
Soybean,11,3.6,68.9,1011.4,53.5,1.7,0.0452
Sorghum,9,23.6,57.5,1013.3,90.4,2.4,0.4202
Wheat,4,16.4,69.2,1012.2,46.0,3.3,0.0739
Hay,9,29.1,69.2,1017.3,172.0,0.2,0.8353
Cotton,4,14.5,74.6,1008.0,190.1,1.4,0.4956
Cotton,4,7.7,54.4,1022.2,40.7,1.9,0.1575
Wheat,9,24.3,57.6,1013.2,109.5,2.6,0.9047
Wheat,8,30.9,82.3,1016.9,69.0,0.0,0.6613
Hay,7,29.0,77.1,1013.1,77.4,7.4,0.3168
Rice,7,31.9,77.7,1007.9,155.5,0.1,0.2955
Corn,3,3.7,61.6,1020.3,16.4,0.8,0.0
Tree Nuts,10,15.3,67.7,1010.0,84.7,3.2,0.0839
