crop_type,month,temperature_celsius,humidity_percent,pressure_hpa,rainfall_mm,wind_speed_mps,quantity_normalized
Barley,6,28.3,73.7,1017.7,17.6,0.9,0.3175
Wheat,2,1.9,63.5,1017.4,25.2,4.2,0.0353
Hay & Forages,7,27.2,65.9,1013.9,90.0,3.0,0.4391
Wheat,9,23.9,79.5,1007.1,64.6,3.3,0.7814
Sugar Beets,11,5.9,50.0,1010.0,67.0,3.3,0.0
Corn,2,4.8,53.3,1013.5,31.2,0.7,0.0433
Grapes,1,4.5,62.2,1002.5,42.2,7.9,0.0
Sunflowers,7,30.5,86.0,1009.2,120.3,0.2,0.8378
Corn,3,7.7,35.2,1010.4,0.0,1.3,0.0
Sugar Beets,6,24.2,63.6,1005.2,25.9,5.5,0.1296
Lettuce,10,11.5,57.2,1014.8,101.9,1.3,0.0
Potatoes,12,-2.3,54.7,1023.0,129.5,4.7,0.0745
Oranges,4,13.8,75.8,1013.8,8.7,2.7,0.0316
Corn,12,1.1,60.9,1012.9,46.2,0.9,0.1377
Almonds,10,14.5,65.5,1023.6,184.0,3.2,0.68
Cotton,3,6.8,56.4,1017.9,42.1,1.8,0.101
Hay & Forages,8,31.1,67.1,1013.2,99.4,2.4,0.3993
Peanuts,4,17.7,62.2,1018.4,61.6,7.8,0.1098
Peanuts,5,25.3,76.7,1011.7,56.5,1.5,0.3756
Wheat,12,5.1,51.0,1006.9,53.4,2.8,0.0
Almonds,1,2.2,44.4,1014.9,16.2,6.8,0.0455
Barley,6,28.7,60.0,1012.7,108.5,4.4,0.7655
Sugar Beets,3,9.3,56.9,1013.4,17.4,5.2,0.0001
Canola,11,8.3,58.3,1012.7,71.0,3.7,0.0
Soybeans,8,26.4,78.2,1014.7,123.9,0.0,0.8373
Barley,8,28.0,70.1,1012.1,147.3,4.4,0.6304
Grapes,11,5.8,58.4,1021.7,133.1,3.6,0.0
Wheat,12,2.6,63.1,1019.5,56.2,5.4,0.0
Rice,10,17.4,69.3,1011.3,49.4,3.2,0.2277
Sugar Beets,3,9.8,52.6,1014.9,0.4,4.8,0.048
Barley,11,12.3,52.2,1012.5,35.9,2.7,0.0562
Rice,7,29.3,76.0,1008.6,70.1,0.0,0.4619
Almonds,8,25.4,76.2,1009.8,62.2,3.5,0.4122
Canola,9,21.5,92.6,1017.5,69.9,3.5,0.7437
Apples,8,27.0,64.2,1021.3,104.3,2.1,0.7895
Canola,7,33.8,61.6,1013.3,89.7,3.3,0.2544
Cotton,2,2.1,49.1,1010.9,21.6,0.9,0.0554
Sorghum,9,28.4,69.6,1006.7,77.2,2.1,0.4358
Rice,4,13.0,68.5,1011.9,50.4,4.2,0.22
Peanuts,7,31.4,78.6,1017.0,74.6,8.2,0.4166
Soybeans,7,35.7,64.4,1014.8,51.8,0.3,0.2419
Barley,1,1.8,49.4,1009.7,65.4,3.3,0.0
Potatoes,1,0.7,26.1,1010.8,61.6,1.7,0.0261
Canola,2,5.3,41.1,1013.6,17.2,4.9,0.0099
Apples,12,2.8,57.1,1013.8,131.5,3.3,0.0
Sugar Beets,3,7.0,63.3,1016.6,87.1,0.3,0.0
Rice,11,11.7,51.9,1009.3,54.4,2.4,0.0352
Grapes,2,3.3,51.4,1012.9,201.9,3.5,0.051
Soybeans,6,23.0,83.8,1006.9,88.9,6.3,0.3579
Sugar Beets,6,25.7,89.2,1018.4,54.1,8.5,0.2068
Dry Beans,3,7.9,49.9,1012.6,62.9,0.8,0.0
Dry Beans,11,6.1,46.9,1015.6,68.6,3.8,0.0
Canola,6,23.8,71.4,1012.0,75.7,2.1,0.6699
Canola,7,31.9,79.2,1019.9,64.8,1.7,0.2901
Potatoes,11,8.9,61.1,1019.1,54.6,4.7,0.0107
Lettuce,9,14.3,59.2,1018.2,114.0,0.7,0.0784
Wheat,5,20.2,73.2,1015.7,42.9,2.0,0.124
Sugar Beets,6,33.1,94.8,1011.5,89.9,1.8,0.0212
Sugar Beets,3,4.6,57.3,1013.8,45.6,5.8,0.0281
Hay & Forages,1,-5.1,55.8,1010.3,35.5,0.0,0.0
Dry Beans,4,16.3,57.0,1004.0,52.7,0.0,0.1377
Dry Beans,8,23.6,70.4,1007.3,89.5,1.4,0.751
Apples,7,30.9,79.4,1011.5,166.8,2.7,0.6526
Almonds,3,5.4,56.2,1005.8,126.2,0.0,0.0
Tomatoes,10,12.8,59.9,1012.0,54.1,2.6,0.0
Barley,3,4.1,60.8,1013.4,55.7,0.0,0.0036
Sorghum,12,0.2,68.3,1015.7,76.3,0.6,0.0
Oranges,2,2.5,61.7,1009.9,43.2,1.1,0.0
Wheat,8,26.9,75.1,1008.7,160.2,2.7,0.747
Sorghum,10,12.7,58.9,1002.4,81.6,4.3,0.149
Soybeans,3,12.2,74.5,1018.4,38.0,3.6,0.0005
Apples,12,5.6,47.6,1011.9,55.8,3.6,0.0
Potatoes,2,3.9,49.8,1012.5,53.8,1.8,0.0
Peanuts,3,1.4,64.3,1011.8,63.5,7.0,0.0
Apples,2,2.5,40.7,1014.3,30.3,2.0,0.0
Wheat,12,5.3,38.6,1021.7,14.2,0.4,0.0
Peanuts,5,20.5,92.2,1012.4,93.3,0.0,0.3213
Oranges,7,27.3,90.1,1009.3,79.2,2.2,0.3149
Cotton,12,-1.8,42.5,1016.3,106.2,3.4,0.0314
Oranges,11,7.8,56.5,1018.4,79.3,1.0,0.0569
Corn,7,32.9,78.1,1018.1,132.5,3.7,0.321
Sugar Beets,10,14.5,67.5,1011.0,113.4,2.6,0.2175
Sugar Beets,4,15.1,53.6,1005.5,55.9,0.5,0.1795
Corn,12,1.3,67.0,1010.4,83.1,7.7,0.0646
Hay & Forages,8,24.3,62.5,1013.5,60.9,6.3,0.4881
Tomatoes,6,22.6,80.3,1007.2,49.6,2.4,0.4545
Cotton,11,7.7,77.2,1006.2,57.8,4.2,0.0244
Cotton,6,20.4,89.7,1014.3,124.9,0.1,0.9569
Sorghum,1,7.9,56.8,1005.5,5.6,4.7,0.0
Almonds,6,30.2,63.3,1019.9,49.0,2.7,0.2055
Apples,5,22.9,79.5,1012.4,27.9,1.4,0.3159
Canola,4,12.4,72.8,1010.8,53.3,2.2,0.078
Tomatoes,9,28.3,69.0,1011.2,99.9,1.2,0.9009
Almonds,8,30.8,71.7,1014.0,163.8,1.8,0.3813
Corn,10,15.8,55.9,1015.8,46.0,4.7,0.0
Soybeans,10,18.3,55.1,1018.7,76.2,2.7,0.0039
Almonds,3,7.3,40.9,1016.0,72.8,6.4,0.0
Soybeans,8,29.2,67.8,1018.4,62.0,5.0,0.5878
Sunflowers,12,6.0,42.7,1014.2,49.5,2.0,0.0
Cotton,2,6.3,62.7,1013.6,19.4,4.0,0.0
Hay & Forages,10,13.8,64.2,1023.3,146.3,6.9,0.2519
Sorghum,2,1.4,67.4,1011.2,20.8,2.9,0.0203
Almonds,2,1.9,56.0,1015.7,8.6,2.8,0.0
Rice,7,33.9,71.1,1014.9,43.0,2.5,0.1658
Rice,4,15.3,56.0,1009.3,56.6,4.4,0.3515
Apples,8,26.3,74.0,1000.5,191.9,0.9,0.7262
Rice,5,21.5,58.4,1009.8,10.3,0.3,0.2296
Almonds,2,3.9,53.9,1015.9,9.0,3.0,0.0
Lettuce,9,18.5,57.3,1016.9,98.3,5.0,0.1595
Apples,10,12.9,63.1,1009.0,90.9,0.0,0.2925
Grapes,5,20.4,62.7,1018.8,76.3,1.8,0.2164
Soybeans,1,-4.6,50.1,1007.2,43.1,6.4,0.0324
Sorghum,4,19.5,69.1,1020.4,36.6,0.0,0.1205
Grapes,5,24.5,81.9,1017.0,57.7,0.0,0.2521
Rice,11,3.6,64.0,1018.0,98.6,5.5,0.0202
Dry Beans,4,9.9,75.4,1019.8,46.1,3.0,0.0607
Peanuts,8,25.8,89.4,1007.3,47.3,3.2,0.474
Potatoes,1,-3.9,65.9,1016.5,8.7,0.0,0.0256
Grapes,3,4.4,79.8,1006.9,37.3,2.2,0.0
Dry Beans,8,29.1,63.2,1003.6,91.5,4.5,0.7405
Apples,10,14.5,62.1,1015.8,91.8,0.6,0.2985
Barley,7,30.1,92.3,1014.7,143.1,1.4,0.6308
Cotton,6,29.2,75.3,1006.6,87.3,1.2,0.6592
Tomatoes,9,21.6,59.6,1007.5,202.8,6.5,0.4475
Almonds,10,11.7,69.9,1010.9,81.5,1.0,0.3635
Hay & Forages,7,28.6,90.4,1014.7,86.8,5.7,0.3041
Hay & Forages,4,16.9,63.8,1014.9,21.8,3.3,0.0238
Almonds,5,20.2,56.9,1017.0,64.8,4.5,0.1858
Canola,11,1.6,68.1,1008.6,82.2,5.6,0.039
Potatoes,1,3.7,37.1,1012.9,51.3,3.8,0.0134
Corn,6,31.3,61.3,1009.6,90.9,3.5,0.439
Tomatoes,1,3.2,43.3,1002.6,43.7,0.0,0.0
Dry Beans,6,29.7,74.7,1020.3,48.7,2.9,0.5144
Corn,1,4.5,35.3,1005.8,76.8,1.9,0.0
Cotton,5,19.1,71.5,1009.3,70.7,4.2,0.6648
Sugar Beets,9,27.7,70.4,1017.1,110.2,6.7,0.2004
Wheat,3,7.5,55.8,1012.1,0.0,1.9,0.0
Cotton,5,22.8,70.8,1030.8,75.3,2.9,0.6578
Apples,6,27.2,64.6,1004.0,57.6,2.4,0.5052
Sorghum,9,20.3,44.0,1008.3,101.2,6.0,0.5569
Lettuce,3,4.9,70.2,1018.1,17.6,7.6,0.0155
Canola,1,2.2,62.9,1015.2,44.8,1.5,0.0757
Lettuce,3,7.9,67.6,1005.7,6.6,5.3,0.0041
Hay & Forages,3,9.4,75.1,1012.8,33.1,2.1,0.0
Wheat,3,9.3,58.2,1017.2,55.7,4.5,0.0161
Oranges,4,16.5,74.2,1017.0,154.6,0.3,0.4275
Sugar Beets,2,-1.0,56.2,1009.1,25.0,0.2,0.063
Hay & Forages,10,12.1,72.6,1009.3,104.2,3.7,0.1777
Cotton,4,17.4,81.6,1009.7,24.9,2.3,0.335
Wheat,5,23.3,84.7,1015.5,62.6,0.0,0.2027
Sugar Beets,5,22.3,82.6,1016.0,24.6,3.2,0.1513
Sugar Beets,7,29.9,87.4,1014.3,32.8,5.3,0.1586
Almonds,3,7.0,48.4,1013.4,37.4,3.7,0.0
Sorghum,10,19.2,66.8,1009.6,106.5,2.6,0.5139
Sugar Beets,1,-1.0,65.7,1000.4,33.4,2.4,0.0161
Hay & Forages,12,5.1,53.9,1007.2,44.0,6.1,0.0142
Barley,4,9.1,58.3,1018.8,28.8,5.4,0.0
Oranges,6,25.0,82.2,1023.2,19.0,2.2,0.2418
Corn,5,21.7,58.5,1020.3,53.2,2.3,0.4388
Rice,9,22.4,70.8,1018.2,111.9,4.2,0.6103
Rice,10,14.5,55.3,1013.0,47.4,6.0,0.12
Peanuts,8,25.4,88.6,1012.9,85.1,2.6,0.5877
Barley,12,1.8,58.5,1005.4,96.8,2.4,0.0
Hay & Forages,12,3.0,40.2,1015.7,29.2,6.7,0.0
Sorghum,9,22.5,64.4,1011.6,123.0,0.0,0.7658
Sunflowers,3,6.2,60.1,1014.6,41.7,3.3,0.0
Wheat,10,15.2,65.0,1012.5,102.1,6.8,0.3388
Apples,9,26.3,53.5,1018.6,49.8,2.1,0.4921
Hay & Forages,4,17.8,60.2,1011.5,70.0,2.8,0.0917
Barley,8,29.7,76.2,1017.5,60.4,1.1,0.5664
Dry Beans,11,8.4,54.4,1012.9,68.6,1.9,0.0019
Oranges,3,3.1,61.7,1005.9,20.7,0.2,0.0208
Hay & Forages,11,7.1,81.2,1005.2,95.2,3.0,0.1353
Peanuts,3,11.2,68.2,1015.1,0.0,5.4,0.0
Oranges,6,25.7,84.2,1013.0,56.3,2.7,0.4206
Barley,7,25.6,90.5,1007.4,80.4,2.3,0.8285
Wheat,6,31.4,75.7,1012.8,144.3,0.9,0.3526
Tomatoes,10,17.2,50.1,996.0,136.4,4.4,0.3025
Peanuts,6,30.7,76.5,1010.0,116.9,3.8,0.7164
Rice,3,8.5,69.5,1011.7,132.8,6.1,0.0
Soybeans,3,12.0,43.4,1016.9,25.5,0.0,0.0
Hay & Forages,8,31.2,85.6,1014.1,109.7,0.4,0.5258
Grapes,9,20.9,69.5,1011.9,64.6,4.4,0.4118
Grapes,1,-2.6,38.8,1014.1,68.3,2.3,0.0408
Sunflowers,8,31.4,69.9,1013.8,63.8,3.2,0.8645
Dry Beans,4,11.1,76.8,998.2,55.0,1.9,0.0136
Sugar Beets,10,14.1,59.7,1014.6,59.4,0.0,0.1218
Peanuts,2,0.4,62.7,1022.1,63.8,4.4,0.0
Sugar Beets,8,25.0,68.3,1014.8,81.1,2.6,0.5098
Dry Beans,12,-0.7,48.2,1007.7,36.1,4.6,0.0
Oranges,9,25.6,61.9,1020.5,116.5,3.6,0.4402
Hay & Forages,1,-4.6,66.6,1017.1,34.6,0.0,0.0408
Oranges,5,23.4,79.9,1020.3,27.0,0.5,0.1911
Rice,5,22.8,80.6,1006.6,28.5,2.7,0.5091
Sunflowers,11,5.3,52.1,1011.4,203.1,0.9,0.0
Soybeans,12,6.9,51.7,1006.1,155.6,3.6,0.0
Canola,11,7.8,46.2,1016.3,62.9,1.8,0.0489
Peanuts,5,18.3,92.3,1024.1,81.3,1.2,0.1187
Wheat,10,19.8,74.3,1020.5,82.3,1.9,0.681
Sunflowers,9,23.1,70.2,1012.7,82.7,4.3,0.6249
Sugar Beets,2,-1.3,61.4,1003.5,0.0,1.6,0.0829
Peanuts,12,10.4,62.4,1006.5,73.9,1.7,0.0062
Peanuts,1,-0.2,45.0,1016.9,65.0,4.3,0.1462
Apples,1,-0.2,47.5,1010.5,72.9,7.8,0.0531
Hay & Forages,3,7.8,50.3,1024.1,19.8,1.1,0.0
Peanuts,6,23.5,89.9,1018.2,63.2,1.7,0.5099
Hay & Forages,10,17.2,55.2,1018.9,158.7,3.4,0.5771
Sugar Beets,7,32.3,75.9,1021.5,119.5,2.9,0.1231
Barley,9,22.1,78.4,1018.8,81.3,5.0,0.3326
Grapes,12,-0.9,64.6,1016.3,60.0,1.1,0.0768
Sugar Beets,6,29.9,65.0,1008.0,99.6,2.5,0.1487
Sunflowers,4,16.9,55.9,1014.5,63.8,1.3,0.1398
Almonds,10,18.6,52.0,1012.7,52.0,2.3,0.5732
Lettuce,9,23.0,81.6,1016.9,201.3,3.3,0.1581
Cotton,5,24.6,63.3,1017.1,86.0,0.9,0.6747
Almonds,1,-0.7,54.1,1013.2,69.9,6.0,0.0277
Corn,2,-2.2,60.5,1008.8,3.4,3.3,0.0
Sunflowers,12,2.1,65.1,1016.8,64.0,4.1,0.0
Apples,6,29.7,60.4,1013.3,78.3,0.0,0.5025
Almonds,2,-3.1,64.2,1003.7,0.0,5.5,0.0357
Grapes,9,21.7,72.9,1014.3,75.2,4.6,0.5638
Sunflowers,6,27.8,88.3,1004.2,57.4,1.9,0.5636
Tomatoes,9,23.8,76.5,1011.5,121.5,0.0,0.8281
Sunflowers,2,7.2,62.6,1017.9,190.0,3.9,0.0
Sunflowers,1,-0.3,54.7,1017.0,50.4,6.8,0.0
Sugar Beets,1,1.0,43.8,1019.4,29.1,6.5,0.1501
Lettuce,6,22.5,60.6,1013.2,89.8,1.2,0.5691
Hay & Forages,9,22.6,69.2,1018.1,101.7,0.5,0.7167
Barley,5,24.1,69.4,1019.3,165.5,4.4,0.6804
Rice,8,30.3,78.4,1013.7,221.9,6.1,0.1896
Peanuts,11,8.0,68.1,1004.0,182.1,0.0,0.0028
Sugar Beets,9,28.1,78.0,1015.9,79.3,0.8,0.3196
Sugar Beets,4,13.0,78.1,1004.4,116.7,2.9,0.1354
Hay & Forages,2,2.5,61.4,1020.0,17.3,3.7,0.0205
Potatoes,10,15.8,62.3,1011.9,86.3,0.6,0.4588
Rice,9,24.6,68.7,1007.3,117.0,0.0,0.5405
Soybeans,6,27.1,87.2,1005.1,102.5,1.6,0.7733
Sorghum,7,26.1,79.0,997.7,63.9,0.1,0.4437
Hay & Forages,5,23.0,81.4,1013.6,148.0,4.0,0.1337
Corn,3,3.8,62.3,1016.0,54.2,2.5,0.0
Canola,5,23.8,66.3,1018.0,81.9,1.9,0.5137
Hay & Forages,2,-1.3,43.8,1008.5,90.2,6.9,0.0
Hay & Forages,7,33.9,84.4,1003.0,73.3,1.3,0.1682
Rice,7,30.3,72.3,1012.0,56.3,2.5,0.2916
Canola,9,22.6,67.5,1016.3,114.2,4.4,0.7593
Grapes,3,1.7,57.0,1008.0,16.3,1.2,0.0
Wheat,9,19.9,80.3,1011.7,47.2,4.2,0.6061
Lettuce,11,9.6,63.4,1023.1,53.2,1.5,0.0522
Hay & Forages,12,0.6,39.3,1013.6,15.7,4.5,0.0
Corn,6,29.6,69.8,1000.9,37.1,5.4,0.3563
Sunflowers,1,-0.3,62.3,1015.4,94.2,4.0,0.0197
Sugar Beets,4,13.9,69.4,997.6,80.4,4.6,0.171
Grapes,9,23.7,61.7,1009.3,66.6,3.3,0.6255
Canola,4,12.6,75.6,1017.4,14.7,0.0,0.1236
Wheat,2,3.7,39.2,1004.9,12.2,3.9,0.0
Apples,7,32.9,52.5,1019.5,134.6,1.5,0.5331
Hay & Forages,3,5.5,53.0,1012.5,78.0,2.1,0.0
Potatoes,4,18.8,71.1,1010.7,32.4,0.5,0.281
Oranges,9,20.4,65.7,1016.1,74.7,7.1,0.3545
Grapes,5,18.5,67.1,1012.0,36.4,2.0,0.1702
Hay & Forages,2,6.7,66.8,1014.0,20.0,0.8,0.0
Corn,11,9.1,51.7,1008.8,123.0,2.4,0.0
Potatoes,10,11.3,65.3,1014.4,92.3,0.8,0.2096
Hay & Forages,9,20.7,79.2,1023.3,70.5,1.4,0.5674
Dry Beans,12,-3.5,66.7,1015.1,25.6,3.7,0.0
Sunflowers,4,14.5,47.7,1014.0,44.1,4.4,0.1169
Apples,3,6.1,64.8,1004.9,132.8,1.9,0.0822
Soybeans,4,15.7,78.5,1013.5,22.7,4.2,0.0
Sugar Beets,7,32.9,79.0,1012.4,82.4,6.4,0.1671
Sorghum,3,5.1,70.8,1016.3,19.8,3.1,0.022
Wheat,12,1.8,48.8,1013.7,84.8,5.4,0.0
Apples,10,17.5,59.8,1007.9,60.9,2.5,0.2511
Canola,4,15.2,46.2,1013.3,16.2,2.5,0.1146
Wheat,2,2.7,59.9,1021.7,0.0,4.3,0.0
Corn,5,18.2,61.2,1023.6,48.8,4.3,0.2151
Apples,2,0.9,39.9,1017.5,78.1,2.5,0.0298
Canola,1,1.9,51.4,1005.6,21.4,0.3,0.0645
Sugar Beets,12,2.6,48.3,1009.0,72.6,2.2,0.0075
Wheat,3,4.2,68.0,1016.5,41.0,0.9,0.0
Grapes,10,15.6,71.0,1011.9,70.3,7.7,0.2215
Almonds,6,30.1,78.2,1018.6,55.2,0.0,0.1896
Soybeans,3,8.2,67.5,1009.9,15.7,7.4,0.0721
Cotton,4,11.3,59.2,1017.1,47.2,1.4,0.2514
Barley,11,9.9,57.7,1005.0,62.2,8.2,0.0
Wheat,1,3.7,39.0,1009.6,93.4,1.0,0.0055
Peanuts,6,24.9,65.9,1014.4,42.1,1.7,0.3628
Canola,7,30.8,84.7,1016.0,48.3,0.0,0.3609
Dry Beans,7,31.3,77.2,1010.0,67.7,2.8,0.6384
Sunflowers,8,33.5,68.1,1011.4,94.3,5.2,0.8579
Canola,3,11.0,50.8,1009.1,10.9,2.2,0.0
Apples,4,21.1,72.1,1007.1,52.1,3.5,0.3957
Sunflowers,10,15.0,59.3,1006.6,95.5,2.9,0.2295
Grapes,3,5.7,50.5,1012.5,47.1,0.9,0.0437
Tomatoes,8,30.1,76.1,1016.1,64.3,0.0,0.7506
Grapes,9,20.2,86.2,1012.3,152.0,6.3,0.6178
Tomatoes,10,17.3,65.4,1013.4,51.5,0.0,0.336
Sorghum,8,29.9,55.8,1022.9,87.8,1.3,0.3748
Rice,6,29.6,65.9,1004.4,40.8,8.3,0.146
Soybeans,10,13.7,68.8,1005.1,80.0,2.8,0.0
Hay & Forages,9,18.1,62.5,1016.4,82.8,1.0,0.386
Dry Beans,9,25.7,67.1,1008.3,138.2,5.8,0.4929
